accession	initial_occurrences	passed_crabs	final_retained	manually_discarded	current_status
FJ602136.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602137.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602138.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602139.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602140.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ602141.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ807903.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ807904.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ807905.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ807906.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ807907.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ807908.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ807909.1	1		0	0	not_retained_stage_unresolved_without_415_list
FJ882756.1	1		1	0	retained_final_dataset
FJ882806.1	1		1	0	retained_final_dataset
FJ882809.1	1		1	0	retained_final_dataset
FJ882813.1	1		1	0	retained_final_dataset
FJ882841.1	1		1	0	retained_final_dataset
GQ368659.1	1		1	0	retained_final_dataset
GQ489031.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489033.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489034.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489036.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489060.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489063.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489064.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489065.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489066.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489067.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489068.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489069.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ489070.1	1		0	0	not_retained_stage_unresolved_without_415_list
GQ916753.1	1		0	0	not_retained_stage_unresolved_without_415_list
HE610671.1	1		0	0	not_retained_stage_unresolved_without_415_list
HE610672.1	1		0	0	not_retained_stage_unresolved_without_415_list
HE610673.1	1		0	0	not_retained_stage_unresolved_without_415_list
HE610674.1	1		0	0	not_retained_stage_unresolved_without_415_list
HE610675.1	1		0	0	not_retained_stage_unresolved_without_415_list
HE610676.1	1		0	0	not_retained_stage_unresolved_without_415_list
HQ697272.1	1		1	0	retained_final_dataset
HQ697273.1	1		1	0	retained_final_dataset
JN627421.1	1		1	0	retained_final_dataset
JN627422.1	2		1	0	retained_final_dataset
JN627423.1	1		1	0	retained_final_dataset
JN627424.1	2		1	0	retained_final_dataset
JN627425.1	1		1	0	retained_final_dataset
JN627426.1	2		1	0	retained_final_dataset
JN654460.1	1		0	0	not_retained_stage_unresolved_without_415_list
JN657500.1	1		0	0	not_retained_stage_unresolved_without_415_list
JN657501.1	1		0	0	not_retained_stage_unresolved_without_415_list
JN657502.1	1		0	0	not_retained_stage_unresolved_without_415_list
JN657503.1	1		0	0	not_retained_stage_unresolved_without_415_list
JQ626637.1	1		1	0	retained_final_dataset
JQ626638.1	1		1	0	retained_final_dataset
JQ626639.1	1		1	0	retained_final_dataset
JQ626640.1	1		1	0	retained_final_dataset
JQ626641.1	1		1	0	retained_final_dataset
JQ626642.1	1		1	0	retained_final_dataset
JQ626643.1	1		1	0	retained_final_dataset
JQ626644.1	1		1	0	retained_final_dataset
JX439774.1	1		0	0	not_retained_stage_unresolved_without_415_list
JX439775.1	1		0	0	not_retained_stage_unresolved_without_415_list
JX439776.1	1		0	0	not_retained_stage_unresolved_without_415_list
JX439777.1	1		0	0	not_retained_stage_unresolved_without_415_list
JX439778.1	1		0	0	not_retained_stage_unresolved_without_415_list
JX439779.1	1		0	0	not_retained_stage_unresolved_without_415_list
JX439780.1	1		0	0	not_retained_stage_unresolved_without_415_list
JX439781.1	1		0	0	not_retained_stage_unresolved_without_415_list
JX564863.1	1		1	0	retained_final_dataset
JX893174.1	1		1	0	retained_final_dataset
JX893175.1	1		1	0	retained_final_dataset
JX893176.1	1		1	0	retained_final_dataset
JX893177.1	1		1	0	retained_final_dataset
JX893178.1	1		1	0	retained_final_dataset
JX893179.1	1		1	0	retained_final_dataset
JX893180.1	1		1	0	retained_final_dataset
KF049927.1	1		1	0	retained_final_dataset
KF645351.1	1		1	0	retained_final_dataset
KF645352.1	1		1	0	retained_final_dataset
KF645353.1	1		1	0	retained_final_dataset
KF645354.1	1		1	0	retained_final_dataset
KF645358.1	1		1	0	retained_final_dataset
KF645359.1	1		1	0	retained_final_dataset
KF645360.1	1		1	0	retained_final_dataset
KF645364.1	1		1	0	retained_final_dataset
KF645365.1	1		1	0	retained_final_dataset
KF645366.1	1		1	0	retained_final_dataset
KF645369.1	1		1	0	retained_final_dataset
KF645370.1	1		1	0	retained_final_dataset
KF645371.1	1		1	0	retained_final_dataset
KF645372.1	1		1	0	retained_final_dataset
KF645373.1	1		1	0	retained_final_dataset
KF645374.1	1		1	0	retained_final_dataset
KF645375.1	1		1	0	retained_final_dataset
KF645386.1	1		1	0	retained_final_dataset
KF645387.1	1		1	0	retained_final_dataset
KF645388.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645389.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645390.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645391.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645392.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645393.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645394.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645395.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645396.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645397.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645398.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645399.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645400.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645401.1	1		1	0	retained_final_dataset
KF645402.1	1		1	0	retained_final_dataset
KF645403.1	1		1	0	retained_final_dataset
KF645404.1	1		1	0	retained_final_dataset
KF645405.1	1		1	0	retained_final_dataset
KF645406.1	1		1	0	retained_final_dataset
KF645407.1	1		1	0	retained_final_dataset
KF645408.1	1		1	0	retained_final_dataset
KF645409.1	1		1	0	retained_final_dataset
KF645410.1	1		1	0	retained_final_dataset
KF645411.1	1		1	0	retained_final_dataset
KF645412.1	1		1	0	retained_final_dataset
KF645413.1	1		1	0	retained_final_dataset
KF645414.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645415.1	1		1	0	retained_final_dataset
KF645416.1	1		1	0	retained_final_dataset
KF645417.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF645418.1	1		1	0	retained_final_dataset
KF645419.1	1		1	0	retained_final_dataset
KF645420.1	1		1	0	retained_final_dataset
KF645421.1	1		1	0	retained_final_dataset
KF645422.1	1		1	0	retained_final_dataset
KF645423.1	1		1	0	retained_final_dataset
KF664594.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF664601.1	1		0	0	not_retained_stage_unresolved_without_415_list
KF664850.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109551.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109552.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109553.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109554.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109555.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109556.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109557.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109558.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109559.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109569.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109570.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109571.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109572.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109573.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109574.1	1		0	0	not_retained_stage_unresolved_without_415_list
